Category,2015 - 2019 Average,2020,2021,2022,2023
1,1276,1161,1720,1231,1536
2,1560,1567,1550,1517,2052
3,1382,1322,1559,1347,1733
4,1317,1226,1604,1261,1440
5,1280,1188,1506,1260,1351
6,1254,1216,1412,1238,1330
7,1259,1162,1422,1158,1289
8,1247,1162,1325,1190,1314
9,1165,1171,1204,1192,1245
10,1229,1208,1145,1222,1303
11,1169,1198,1114,1267,1311
12,1120,1196,1097,1248,1374
13,1118,1079,972,1271,1263
14,1098,1744,1058,1236,1125
15,1100,1978,1131,1051,1267
16,1067,1916,1112,1256,1263
17,1087,1836,1040,1268,1204
18,1079,1678,954,1093,1165
19,1034,1435,1076,1244,1081
20,1064,1421,1042,1214,
21,1045,1226,1098,1100,
22,1017,1128,1055,848,
23,1056,1093,1150,1207,
24,1000,1034,1054,1186,
25,1019,1065,1055,1136,
26,1026,1008,1095,1137,
27,1018,983,1087,1102,
28,1025,977,1127,1184,
29,996,1033,1126,1138,
30,977,962,1155,1183,
31,994,1043,1073,1125,
32,1003,1011,1099,1138,
33,992,928,1171,1175,
34,999,1046,1129,1086,
35,983,1030,1180,1071,
36,988,1050,1130,1129,
37,1008,1069,1259,1135,
38,1007,952,1228,1001,
39,1046,933,1255,1250,
40,1038,1196,1368,1296,
41,1079,1072,1345,1264,
42,1062,1134,1323,1243,
43,1052,1187,1342,1290,
44,1079,1262,1298,1278,
45,1105,1250,1338,1235,
46,1139,1338,1277,1291,
47,1130,1360,1286,1271,
48,1130,1329,1333,1239,
49,1140,1296,1326,1301,
50,1236,1284,1359,1321,
51,1272,1297,1337,1612,
52,1061,1205,1085,1198,
53,1018,1178,,,
