"DateTime","New Deaths","7 Day Average"
"2020-03-12 00:00:00",2,0
"2020-03-13 00:00:00",0,0
"2020-03-14 00:00:00",2,0
"2020-03-15 00:00:00",1,2.1
"2020-03-16 00:00:00",3,2.4
"2020-03-17 00:00:00",3,3.1
"2020-03-18 00:00:00",4,3.9
"2020-03-19 00:00:00",4,4.6
"2020-03-20 00:00:00",5,5.1
"2020-03-21 00:00:00",7,6.4
"2020-03-22 00:00:00",6,9
"2020-03-23 00:00:00",7,11.9
"2020-03-24 00:00:00",12,14.4
"2020-03-25 00:00:00",22,18.7
"2020-03-26 00:00:00",24,21.7
"2020-03-27 00:00:00",23,28
"2020-03-28 00:00:00",37,34.4
"2020-03-29 00:00:00",27,40.6
"2020-03-30 00:00:00",51,45.9
"2020-03-31 00:00:00",57,53.3
"2020-04-01 00:00:00",65,56
"2020-04-02 00:00:00",61,64.4
"2020-04-03 00:00:00",75,70.1
"2020-04-04 00:00:00",56,74.1
"2020-04-05 00:00:00",86,78
"2020-04-06 00:00:00",91,84.7
"2020-04-07 00:00:00",85,88
"2020-04-08 00:00:00",92,93.4
"2020-04-09 00:00:00",108,91.9
"2020-04-10 00:00:00",98,90.4
"2020-04-11 00:00:00",94,92.6
"2020-04-12 00:00:00",75,92.9
"2020-04-13 00:00:00",81,91.9
"2020-04-14 00:00:00",100,89.9
"2020-04-15 00:00:00",94,90
"2020-04-16 00:00:00",101,92.1
"2020-04-17 00:00:00",84,95.6
"2020-04-18 00:00:00",95,95
"2020-04-19 00:00:00",90,94.1
"2020-04-20 00:00:00",105,90
"2020-04-21 00:00:00",96,88.9
"2020-04-22 00:00:00",88,86.6
"2020-04-23 00:00:00",72,84.9
"2020-04-24 00:00:00",76,82
"2020-04-25 00:00:00",79,76.7
"2020-04-26 00:00:00",78,74
"2020-04-27 00:00:00",85,73.4
"2020-04-28 00:00:00",59,72.1
"2020-04-29 00:00:00",69,69.4
"2020-04-30 00:00:00",68,66.9
"2020-05-01 00:00:00",67,63.6
"2020-05-02 00:00:00",60,64.7
"2020-05-03 00:00:00",60,63.3
"2020-05-04 00:00:00",62,62.3
"2020-05-05 00:00:00",67,61
"2020-05-06 00:00:00",59,59.6
"2020-05-07 00:00:00",61,56.4
"2020-05-08 00:00:00",58,54
"2020-05-09 00:00:00",50,49.4
"2020-05-10 00:00:00",38,48.6
"2020-05-11 00:00:00",45,47
"2020-05-12 00:00:00",35,43.6
"2020-05-13 00:00:00",53,41.7
"2020-05-14 00:00:00",50,41.1
"2020-05-15 00:00:00",34,39.6
"2020-05-16 00:00:00",37,39
"2020-05-17 00:00:00",34,35.6
"2020-05-18 00:00:00",34,33.3
"2020-05-19 00:00:00",31,31.1
"2020-05-20 00:00:00",29,28
"2020-05-21 00:00:00",34,25.1
"2020-05-22 00:00:00",19,23.4
"2020-05-23 00:00:00",15,22
"2020-05-24 00:00:00",14,21.1
"2020-05-25 00:00:00",22,19.4
"2020-05-26 00:00:00",21,19.4
"2020-05-27 00:00:00",23,19
"2020-05-28 00:00:00",22,18.6
"2020-05-29 00:00:00",19,16.3
"2020-05-30 00:00:00",12,15.3
"2020-05-31 00:00:00",11,13.7
"2020-06-01 00:00:00",6,11.3
"2020-06-02 00:00:00",14,10.7
"2020-06-03 00:00:00",12,10.1
"2020-06-04 00:00:00",5,10
"2020-06-05 00:00:00",15,10.4
"2020-06-06 00:00:00",8,9.1
"2020-06-07 00:00:00",10,9.1
"2020-06-08 00:00:00",9,9
"2020-06-09 00:00:00",5,7.4
"2020-06-10 00:00:00",12,7.1
"2020-06-11 00:00:00",4,6.7
"2020-06-12 00:00:00",4,6.7
"2020-06-13 00:00:00",6,7.1
"2020-06-14 00:00:00",7,6.9
"2020-06-15 00:00:00",9,7.6
"2020-06-16 00:00:00",8,7.3
"2020-06-17 00:00:00",10,7.4
"2020-06-18 00:00:00",9,7.6
"2020-06-19 00:00:00",2,7.1
"2020-06-20 00:00:00",7,6.4
"2020-06-21 00:00:00",8,5.4
"2020-06-22 00:00:00",6,4.4
"2020-06-23 00:00:00",3,4.6
"2020-06-24 00:00:00",3,4.3
"2020-06-25 00:00:00",2,3.3
"2020-06-26 00:00:00",3,2.7
"2020-06-27 00:00:00",5,2.6
"2020-06-28 00:00:00",1,2.7
"2020-06-29 00:00:00",2,2.6
"2020-06-30 00:00:00",2,2.3
"2020-07-01 00:00:00",4,2
"2020-07-02 00:00:00",1,2
"2020-07-03 00:00:00",1,2.1
"2020-07-04 00:00:00",3,1.9
"2020-07-05 00:00:00",1,1.4
"2020-07-06 00:00:00",3,1.3
"2020-07-07 00:00:00",0,1.1
"2020-07-08 00:00:00",1,1.1
"2020-07-09 00:00:00",0,1
"2020-07-10 00:00:00",0,0.7
"2020-07-11 00:00:00",3,1.1
"2020-07-12 00:00:00",0,1.3
"2020-07-13 00:00:00",1,1.3
"2020-07-14 00:00:00",3,1.3
"2020-07-15 00:00:00",2,1.1
"2020-07-16 00:00:00",0,1.4
"2020-07-17 00:00:00",0,1.4
"2020-07-18 00:00:00",2,1
"2020-07-19 00:00:00",2,0.7
"2020-07-20 00:00:00",1,0.7
"2020-07-21 00:00:00",0,0.9
"2020-07-22 00:00:00",0,0.7
"2020-07-23 00:00:00",0,0.6
"2020-07-24 00:00:00",1,0.4
"2020-07-25 00:00:00",1,1
"2020-07-26 00:00:00",1,1.3
"2020-07-27 00:00:00",0,1.3
"2020-07-28 00:00:00",4,1.1
"2020-07-29 00:00:00",2,1
"2020-07-30 00:00:00",0,0.9
"2020-07-31 00:00:00",0,1
"2020-08-01 00:00:00",0,0.6
"2020-08-02 00:00:00",0,0.6
"2020-08-03 00:00:00",1,0.7
"2020-08-04 00:00:00",1,0.7
"2020-08-05 00:00:00",2,0.7
"2020-08-06 00:00:00",1,0.7
"2020-08-07 00:00:00",0,0.6
"2020-08-08 00:00:00",0,0.4
"2020-08-09 00:00:00",0,0.1
"2020-08-10 00:00:00",0,0.1
"2020-08-11 00:00:00",0,0.1
"2020-08-12 00:00:00",0,0.3
"2020-08-13 00:00:00",1,0.4
"2020-08-14 00:00:00",0,0.6
"2020-08-15 00:00:00",1,0.7
"2020-08-16 00:00:00",1,1
"2020-08-17 00:00:00",1,0.9
"2020-08-18 00:00:00",1,0.9
"2020-08-19 00:00:00",2,0.9
"2020-08-20 00:00:00",0,0.9
"2020-08-21 00:00:00",0,0.7
"2020-08-22 00:00:00",1,0.7
"2020-08-23 00:00:00",1,0.6
"2020-08-24 00:00:00",0,0.7
"2020-08-25 00:00:00",1,0.9
"2020-08-26 00:00:00",1,0.7
