"DateTime","In ICU","Others in Hospital"
"2020-03-27 00:00:00",62,342
"2020-03-28 00:00:00",74,437
"2020-03-29 00:00:00",85,480
"2020-03-30 00:00:00",94,533
"2020-03-31 00:00:00",123,629
"2020-04-01 00:00:00",137,678
"2020-04-02 00:00:00",144,766
"2020-04-03 00:00:00",167,870
"2020-04-04 00:00:00",184,923
"2020-04-05 00:00:00",183,1021
"2020-04-06 00:00:00",190,1072
"2020-04-07 00:00:00",185,1143
"2020-04-08 00:00:00",193,1222
"2020-04-09 00:00:00",200,1240
"2020-04-10 00:00:00",197,1264
"2020-04-11 00:00:00",202,1265
"2020-04-12 00:00:00",208,1279
"2020-04-13 00:00:00",203,1279
"2020-04-14 00:00:00",192,1322
"2020-04-15 00:00:00",191,1295
"2020-04-16 00:00:00",191,1288
"2020-04-17 00:00:00",184,1303
"2020-04-18 00:00:00",178,1323
"2020-04-19 00:00:00",170,1350
"2020-04-20 00:00:00",167,1353
"2020-04-21 00:00:00",159,1313
"2020-04-22 00:00:00",147,1285
"2020-04-23 00:00:00",136,1287
"2020-04-24 00:00:00",136,1247
"2020-04-25 00:00:00",131,1254
"2020-04-26 00:00:00",126,1256
"2020-04-27 00:00:00",121,1266
"2020-04-28 00:00:00",114,1245
"2020-04-29 00:00:00",103,1260
"2020-04-30 00:00:00",101,1223
"2020-05-01 00:00:00",100,1202
"2020-05-02 00:00:00",97,1180
"2020-05-03 00:00:00",91,1175
"2020-05-04 00:00:00",91,1188
"2020-05-05 00:00:00",90,1135
"2020-05-06 00:00:00",79,1125
"2020-05-07 00:00:00",79,1120
"2020-05-08 00:00:00",75,1093
"2020-05-09 00:00:00",76,1083
"2020-05-10 00:00:00",75,1057
"2020-05-11 00:00:00",72,1073
"2020-05-12 00:00:00",69,1062
"2020-05-13 00:00:00",64,1037
"2020-05-14 00:00:00",61,1039
"2020-05-15 00:00:00",53,1013
"2020-05-16 00:00:00",49,962
"2020-05-17 00:00:00",46,961
"2020-05-18 00:00:00",46,959
"2020-05-19 00:00:00",47,922
"2020-05-20 00:00:00",44,899
"2020-05-21 00:00:00",43,866
"2020-05-22 00:00:00",38,836
"2020-05-23 00:00:00",36,805
"2020-05-24 00:00:00",33,812
"2020-05-25 00:00:00",29,820
"2020-05-26 00:00:00",27,806
"2020-05-27 00:00:00",28,782
"2020-05-28 00:00:00",26,771
"2020-05-29 00:00:00",25,744
"2020-05-30 00:00:00",25,710
"2020-05-31 00:00:00",20,712
"2020-06-01 00:00:00",20,715
"2020-06-02 00:00:00",20,692
"2020-06-03 00:00:00",20,686
"2020-06-04 00:00:00",18,667
"2020-06-05 00:00:00",16,660
"2020-06-06 00:00:00",16,630
"2020-06-07 00:00:00",16,630
"2020-06-08 00:00:00",16,639
"2020-06-09 00:00:00",15,626
"2020-06-10 00:00:00",15,608
"2020-06-11 00:00:00",15,595
"2020-06-12 00:00:00",15,575
"2020-06-13 00:00:00",13,569
"2020-06-14 00:00:00",11,564
"2020-06-15 00:00:00",12,566
"2020-06-16 00:00:00",11,556
"2020-06-17 00:00:00",11,541
"2020-06-18 00:00:00",10,534
"2020-06-19 00:00:00",10,508
"2020-06-20 00:00:00",9,502
"2020-06-21 00:00:00",9,509
"2020-06-22 00:00:00",9,506
"2020-06-23 00:00:00",7,505
"2020-06-24 00:00:00",8,481
"2020-06-25 00:00:00",7,465
"2020-06-26 00:00:00",5,462
"2020-06-27 00:00:00",5,451
"2020-06-28 00:00:00",5,448
"2020-06-29 00:00:00",5,448
"2020-06-30 00:00:00",5,445
"2020-07-01 00:00:00",5,434
