DateReported,PCROnly,LFDAndPCR,LFDOnly,ReportedCases,DailyPercentReinfections,CumulativeReportedCases,CumulativePercentReinfections,Deaths,Dose1,Dose2,Dose3
02/03/2020,,,,1,,1,,,,,
03/03/2020,,,,0,,1,,,,,
04/03/2020,,,,2,,3,,,,,
05/03/2020,,,,3,,6,,,,,
06/03/2020,,,,5,,11,,,,,
07/03/2020,,,,5,,16,,,,,
08/03/2020,,,,2,,18,,,,,
09/03/2020,,,,5,,23,,,,,
10/03/2020,,,,4,,27,,,,,
11/03/2020,,,,9,,36,,,,,
12/03/2020,,,,24,,60,,,,,
13/03/2020,,,,25,,85,,,,,
14/03/2020,,,,36,,121,,1,,,
15/03/2020,,,,32,,153,,1,,,
16/03/2020,,,,18,,171,,1,,,
17/03/2020,,,,24,,195,,2,,,
18/03/2020,,,,32,,227,,3,,,
19/03/2020,,,,39,,266,,6,,,
20/03/2020,,,,56,,322,,6,,,
21/03/2020,,,,51,,373,,7,,,
22/03/2020,,,,43,,416,,10,,,
23/03/2020,,,,83,,499,,14,,,
24/03/2020,,,,85,,584,,16,,,
25/03/2020,,,,135,,719,,22,,,
26/03/2020,,,,175,,894,,25,,,
27/03/2020,,,,165,,1059,,33,,,
28/03/2020,,,,186,,1245,,40,,,
29/03/2020,,,,139,,1384,,41,,,
30/03/2020,,,,179,,1563,,47,,,
31/03/2020,,,,430,,1993,,69,,,
01/04/2020,,,,317,,2310,,97,,,
02/04/2020,,,,292,,2602,,126,,,
03/04/2020,,,,399,,3001,,172,,,
04/04/2020,,,,344,,3345,,218,,,
05/04/2020,,,,361,,3706,,220,,,
06/04/2020,,,,255,,3961,,222,,,
07/04/2020,,,,268,,4229,,296,,,
08/04/2020,,,,336,,4565,,366,,,
09/04/2020,,,,392,,4957,,447,,,
10/04/2020,,,,318,,5275,,495,,,
11/04/2020,,,,315,,5590,,542,,,
12/04/2020,,,,322,,5912,,566,,,
13/04/2020,,,,155,,6067,,575,,,
14/04/2020,,,,291,,6358,,615,,,
15/04/2020,,,,390,,6748,,699,,,
16/04/2020,,,,354,,7102,,779,,,
17/04/2020,,,,307,,7409,,837,,,
18/04/2020,,,,411,,7820,,893,,,
19/04/2020,,,,367,,8187,,903,,,
20/04/2020,,,,263,,8450,,915,,,
21/04/2020,,,,222,,8672,,985,,,
22/04/2020,,,,366,,9038,,1062,,,
23/04/2020,,,,371,,9409,,1120,,,
24/04/2020,,,,288,,9697,,1184,,,
25/04/2020,,,,354,,10051,,1231,,,
26/04/2020,,,,273,,10324,,1249,,,
27/04/2020,,,,197,,10521,,1262,,,
28/04/2020,,,,200,,10721,,1332,,,
29/04/2020,,,,313,,11034,,1415,,,
30/04/2020,,,,319,,11353,,1475,,,
01/05/2020,,,,301,,11654,,1515,,,
02/05/2020,,,,273,,11927,,1559,,,
03/05/2020,,,,170,,12097,,1571,,,
04/05/2020,,,,169,,12266,,1576,,,
05/05/2020,,,,171,,12437,,1620,,,
06/05/2020,,,,272,,12709,,1703,,,
07/05/2020,,,,215,,12924,,1762,,,
08/05/2020,,,,225,,13149,,1811,,,
09/05/2020,,,,156,,13305,,1847,,,
10/05/2020,,,,181,,13486,,1857,,,
11/05/2020,,,,141,,13627,,1862,,,
12/05/2020,,,,136,,13763,,1912,,,
13/05/2020,,,,166,,13929,,1973,,,
14/05/2020,,,,188,,14117,,2007,,,
15/05/2020,,,,143,,14260,,2053,,,
16/05/2020,,,,187,,14447,,2094,,,
17/05/2020,,,,90,,14537,,2103,,,
18/05/2020,,,,57,,14594,,2105,,,
19/05/2020,,,,61,,14655,,2134,,,
20/05/2020,,,,96,,14751,,2184,,,
21/05/2020,,,,105,,14856,,2221,,,
22/05/2020,,,,113,,14969,,2245,,,
23/05/2020,,,,72,,15041,,2261,,,
24/05/2020,,,,60,,15101,,2270,,,
25/05/2020,,,,55,,15156,,2273,,,
26/05/2020,,,,29,,15185,,2291,,,
27/05/2020,,,,55,,15240,,2304,,,
28/05/2020,,,,48,,15288,,2316,,,
29/05/2020,,,,39,,15327,,2331,,,
30/05/2020,,,,55,,15382,,2353,,,
31/05/2020,,,,18,,15400,,2362,,,
01/06/2020,,,,18,,15418,,2363,,,
02/06/2020,,,,53,,15471,,2375,,,
03/06/2020,,,,33,,15504,,2386,,,
04/06/2020,,,,49,,15553,,2395,,,
05/06/2020,,,,29,,15582,,2409,,,
06/06/2020,,,,21,,15603,,2415,,,
07/06/2020,,,,18,,15621,,2415,,,
08/06/2020,,,,18,,15639,,2415,,,
09/06/2020,,,,14,,15653,,2422,,,
10/06/2020,,,,12,,15665,,2434,,,
11/06/2020,,,,17,,15682,,2439,,,
12/06/2020,,,,27,,15709,,2442,,,
13/06/2020,,,,21,,15730,,2447,,,
14/06/2020,,,,25,,15755,,2448,,,
15/06/2020,,,,29,,18030,,2448,,,
16/06/2020,,,,15,,18045,,2453,,,
17/06/2020,,,,21,,18066,,2462,,,
18/06/2020,,,,11,,18077,,2464,,,
19/06/2020,,,,27,,18104,,2470,,,
20/06/2020,,,,26,,18130,,2472,,,
21/06/2020,,,,26,,18156,,2472,,,
22/06/2020,,,,14,,18170,,2472,,,
23/06/2020,,,,12,,18182,,2476,,,
24/06/2020,,,,9,,18191,,2480,,,
25/06/2020,,,,5,,18196,,2482,,,
26/06/2020,,,,17,,18213,,2482,,,
27/06/2020,,,,15,,18228,,2482,,,
28/06/2020,,,,8,,18236,,2482,,,
29/06/2020,,,,5,,18241,,2482,,,
30/06/2020,,,,10,,18251,,2485,,,
01/07/2020,,,,8,,18259,,2486,,,
02/07/2020,,,,5,,18264,,2487,,,
03/07/2020,,,,12,,18276,,2488,,,
04/07/2020,,,,11,,18287,,2488,,,
05/07/2020,,,,9,,18296,,2488,,,
06/07/2020,,,,4,,18300,,2488,,,
07/07/2020,,,,2,,18302,,2489,,,
08/07/2020,,,,7,,18309,,2490,,,
09/07/2020,,,,6,,18315,,2490,,,
10/07/2020,,,,18,,18333,,2490,,,
11/07/2020,,,,7,,18340,,2490,,,
12/07/2020,,,,19,,18359,,2490,,,
13/07/2020,,,,6,,18365,,2490,,,
14/07/2020,,,,3,,18368,,2490,,,
15/07/2020,,,,5,,18373,,2490,,,
16/07/2020,,,,11,,18384,,2491,,,
17/07/2020,,,,17,,18401,,2491,,,
18/07/2020,,,,21,,18422,,2491,,,
19/07/2020,,,,23,,18445,,2491,,,
20/07/2020,,,,7,,18452,,2491,,,
21/07/2020,,,,22,,18474,,2491,,,
22/07/2020,,,,10,,18484,,2491,,,
23/07/2020,,,,16,,18500,,2491,,,
24/07/2020,,,,20,,18520,,2491,,,
25/07/2020,,,,27,,18547,,2491,,,
26/07/2020,,,,4,,18551,,2491,,,
27/07/2020,,,,3,,18554,,2491,,,
28/07/2020,,,,4,,18558,,2491,,,
29/07/2020,,,,22,,18580,,2491,,,
30/07/2020,,,,17,,18597,,2491,,,
31/07/2020,,,,30,,18627,,2491,,,
01/08/2020,,,,18,,18645,,2491,,,
02/08/2020,,,,31,,18676,,2491,,,
03/08/2020,,,,18,,18694,,2491,,,
04/08/2020,,,,23,,18717,,2491,,,
05/08/2020,,,,64,,18781,,2491,,,
06/08/2020,,,,66,,18847,,2491,,,
07/08/2020,,,,43,,18890,,2491,,,
08/08/2020,,,,60,,18950,,2491,,,
09/08/2020,,,,48,,18998,,2491,,,
10/08/2020,,,,29,,19027,,2491,,,
11/08/2020,,,,52,,19079,,2491,,,
12/08/2020,,,,47,,19126,,2491,,,
13/08/2020,,,,47,,19173,,2491,,,
14/08/2020,,,,65,,19238,,2491,,,
15/08/2020,,,,51,,19289,,2491,,,
16/08/2020,,,,43,,19332,,2491,,,
17/08/2020,,,,26,,19358,,2491,,,
18/08/2020,,,,49,,19407,,2491,,,
19/08/2020,,,,50,,19457,,2492,,,
20/08/2020,,,,77,,19534,,2492,,,
21/08/2020,,,,71,,19605,,2492,,,
22/08/2020,,,,123,,19728,,2492,,,
23/08/2020,,,,83,,19811,,2492,,,
24/08/2020,,,,66,,19877,,2492,,,
25/08/2020,,,,44,,19921,,2492,,,
26/08/2020,,,,67,,19988,,2494,,,
27/08/2020,,,,68,,20056,,2494,,,
28/08/2020,,,,51,,20107,,2494,,,
29/08/2020,,,,88,,20195,,2494,,,
30/08/2020,,,,123,,20318,,2494,,,
31/08/2020,,,,160,,20478,,2494,,,
01/09/2020,,,,154,,20632,,2494,,,
02/09/2020,,,,156,,20788,,2495,,,
03/09/2020,,,,101,,20889,,2496,,,
04/09/2020,,,,159,,21048,,2496,,,
05/09/2020,,,,141,,21189,,2496,,,
06/09/2020,,,,208,,21397,,2496,,,
07/09/2020,,,,146,,21543,,2496,,,
08/09/2020,,,,176,,21719,,2499,,,
09/09/2020,,,,159,,21878,,2499,,,
10/09/2020,,,,161,,22039,,2499,,,
11/09/2020,,,,175,,22214,,2499,,,
