"DateTime","First Dose","Percent of Population","Second Dose","Percent of Population","Third Dose","Percent of Population"
"2020-12-08 00:00:00",1907,0,,,,
"2020-12-09 00:00:00",5721,0.1,,,,
"2020-12-10 00:00:00",10609,0.2,,,,
"2020-12-11 00:00:00",15840,0.3,,,,
"2020-12-12 00:00:00",17954,0.3,,,,
"2020-12-13 00:00:00",19048,0.3,,,,
"2020-12-14 00:00:00",24506,0.4,,,,
"2020-12-15 00:00:00",31483,0.6,,,,
"2020-12-16 00:00:00",38218,0.7,,,,
"2020-12-17 00:00:00",44799,0.8,,,,
"2020-12-18 00:00:00",52493,1,,,,
"2020-12-19 00:00:00",55740,1,,,,
"2020-12-20 00:00:00",58075,1.1,,,,
"2020-12-21 00:00:00",66730,1.2,,,,
"2020-12-22 00:00:00",77397,1.4,,,,
"2020-12-23 00:00:00",86570,1.6,,,,
"2020-12-24 00:00:00",88996,1.6,,,,
"2020-12-25 00:00:00",89006,1.6,,,,
"2020-12-26 00:00:00",89012,1.6,,,,
"2020-12-27 00:00:00",89362,1.6,,,,
"2020-12-28 00:00:00",90816,1.7,,,,
"2020-12-29 00:00:00",97737,1.8,8,0,,
"2020-12-30 00:00:00",104630,1.9,31,0,,
"2020-12-31 00:00:00",108342,2,41,0,,
"2021-01-01 00:00:00",108380,2,42,0,,
"2021-01-02 00:00:00",108392,2,50,0,,
"2021-01-03 00:00:00",108620,2,50,0,,
"2021-01-04 00:00:00",109910,2,60,0,,
"2021-01-05 00:00:00",117896,2.2,978,0,,
"2021-01-06 00:00:00",127041,2.3,2001,0,,
"2021-01-07 00:00:00",137283,2.5,2333,0,,
"2021-01-08 00:00:00",148112,2.7,2732,0,,
"2021-01-09 00:00:00",154204,2.8,2967,0.1,,
"2021-01-10 00:00:00",156905,2.9,2979,0.1,,
"2021-01-11 00:00:00",168288,3.1,3125,0.1,,
"2021-01-12 00:00:00",183781,3.4,3298,0.1,,
"2021-01-13 00:00:00",200004,3.7,3554,0.1,,
"2021-01-14 00:00:00",216518,4,3751,0.1,,
"2021-01-15 00:00:00",232463,4.3,3961,0.1,,
"2021-01-16 00:00:00",252309,4.6,4096,0.1,,
"2021-01-17 00:00:00",256702,4.7,4173,0.1,,
"2021-01-18 00:00:00",273902,5,4452,0.1,,
"2021-01-19 00:00:00",297919,5.5,4761,0.1,,
"2021-01-20 00:00:00",322326,5.9,5134,0.1,,
"2021-01-21 00:00:00",344880,6.3,5398,0.1,,
"2021-01-22 00:00:00",367136,6.7,5911,0.1,,
"2021-01-23 00:00:00",392287,7.2,6144,0.1,,
"2021-01-24 00:00:00",400162,7.3,6320,0.1,,
"2021-01-25 00:00:00",420670,7.7,6892,0.1,,
"2021-01-26 00:00:00",443982,8.1,7545,0.1,,
"2021-01-27 00:00:00",471449,8.6,7800,0.1,,
"2021-01-28 00:00:00",497200,9.1,8091,0.1,,
"2021-01-29 00:00:00",522445,9.6,8664,0.2,,
"2021-01-30 00:00:00",548103,10,8877,0.2,,
"2021-01-31 00:00:00",554687,10.1,8928,0.2,,
"2021-02-01 00:00:00",584817,10.7,9568,0.2,,
"2021-02-02 00:00:00",620610,11.4,10044,0.2,,
"2021-02-03 00:00:00",662272,12.1,10390,0.2,,
"2021-02-04 00:00:00",709138,13,11065,0.2,,
"2021-02-05 00:00:00",756183,13.8,11952,0.2,,
"2021-02-06 00:00:00",807731,14.8,12226,0.2,,
"2021-02-07 00:00:00",832610,15.2,12355,0.2,,
"2021-02-08 00:00:00",887140,16.2,13717,0.3,,
"2021-02-09 00:00:00",943312,17.3,14461,0.3,,
"2021-02-10 00:00:00",1005282,18.4,14917,0.3,,
"2021-02-11 00:00:00",1065722,19.5,15431,0.3,,
"2021-02-12 00:00:00",1122905,20.5,16041,0.3,,
"2021-02-13 00:00:00",1175733,21.5,16431,0.3,,
"2021-02-14 00:00:00",1204481,22,16660,0.3,,
"2021-02-15 00:00:00",1232757,22.6,19169,0.4,,
"2021-02-16 00:00:00",1263076,23.1,22260,0.4,,
"2021-02-17 00:00:00",1295416,23.7,25639,0.5,,
"2021-02-18 00:00:00",1324317,24.2,29950,0.5,,
"2021-02-19 00:00:00",1349483,24.7,34137,0.6,,
"2021-02-20 00:00:00",1368629,25,35943,0.7,,
"2021-02-21 00:00:00",1381776,25.3,37598,0.7,,
"2021-02-22 00:00:00",1400173,25.6,43332,0.8,,
"2021-02-23 00:00:00",1422583,26,50118,0.9,,
"2021-02-24 00:00:00",1449926,26.5,56628,1,,
"2021-02-25 00:00:00",1476684,27,62818,1.1,,
"2021-02-26 00:00:00",1501773,27.5,69469,1.3,,
"2021-02-27 00:00:00",1524143,27.9,73641,1.3,,
"2021-02-28 00:00:00",1542045,28.2,75840,1.4,,
"2021-03-01 00:00:00",1565125,28.6,81290,1.5,,
"2021-03-02 00:00:00",1592688,29.1,89431,1.6,,
"2021-03-03 00:00:00",1618948,29.6,97599,1.8,,
"2021-03-04 00:00:00",1645537,30.1,104721,1.9,,
"2021-03-05 00:00:00",1671892,30.6,110126,2,,
"2021-03-06 00:00:00",1689573,30.9,113129,2.1,,
"2021-03-07 00:00:00",1700649,31.1,114713,2.1,,
"2021-03-08 00:00:00",1715536,31.4,119300,2.2,,
"2021-03-09 00:00:00",1734097,31.7,128541,2.4,,
"2021-03-10 00:00:00",1750390,32,137249,2.5,,
"2021-03-11 00:00:00",1769357,32.4,144824,2.6,,
"2021-03-12 00:00:00",1790934,32.8,151486,2.8,,
"2021-03-13 00:00:00",1815122,33.2,156415,2.9,,
"2021-03-14 00:00:00",1835257,33.6,158322,2.9,,
"2021-03-15 00:00:00",1867523,34.2,165765,3,,
"2021-03-16 00:00:00",1904759,34.8,177167,3.2,,
"2021-03-17 00:00:00",1947085,35.6,187581,3.4,,
"2021-03-18 00:00:00",1989222,36.4,197393,3.6,,
"2021-03-19 00:00:00",2031010,37.2,205163,3.8,,
"2021-03-20 00:00:00",2072656,37.9,217932,4,,
"2021-03-21 00:00:00",2102943,38.5,220494,4,,
"2021-03-22 00:00:00",2135945,39.1,230651,4.2,,
"2021-03-23 00:00:00",2170758,39.7,245598,4.5,,
"2021-03-24 00:00:00",2206916,40.4,259793,4.8,,
"2021-03-25 00:00:00",2242505,41,275535,5,,
"2021-03-26 00:00:00",2275817,41.6,289836,5.3,,
"2021-03-27 00:00:00",2304148,42.2,316639,5.8,,
"2021-03-28 00:00:00",2325893,42.6,323011,5.9,,
"2021-03-29 00:00:00",2352708,43,339433,6.2,,
"2021-03-30 00:00:00",2380139,43.5,362563,6.6,,
"2021-03-31 00:00:00",2407841,44.1,390200,7.1,,
"2021-04-01 00:00:00",2431384,44.5,411983,7.5,,
"2021-04-02 00:00:00",2450297,44.8,427327,7.8,,
"2021-04-03 00:00:00",2465756,45.1,439456,8,,
"2021-04-04 00:00:00",2476893,45.3,443237,8.1,,
"2021-04-05 00:00:00",2489972,45.6,450966,8.3,,
"2021-04-06 00:00:00",2505802,45.8,469058,8.6,,
"2021-04-07 00:00:00",2520636,46.1,493356,9,,
"2021-04-08 00:00:00",2536424,46.4,517884,9.5,,
"2021-04-09 00:00:00",2555300,46.7,538310,9.8,,
"2021-04-10 00:00:00",2570002,47,568584,10.4,,
"2021-04-11 00:00:00",2579724,47.2,577287,10.6,,
"2021-04-12 00:00:00",2593691,47.5,597661,10.9,,
"2021-04-13 00:00:00",2606053,47.7,622851,11.4,,
"2021-04-14 00:00:00",2620186,47.9,652348,11.9,,
"2021-04-15 00:00:00",2632114,48.2,676530,12.4,,
"2021-04-16 00:00:00",2642665,48.3,699523,12.8,,
"2021-04-17 00:00:00",2653293,48.5,727444,13.3,,
"2021-04-18 00:00:00",2656237,48.6,738163,13.5,,
"2021-04-19 00:00:00",2658416,48.6,781491,14.3,,
"2021-04-20 00:00:00",2660425,48.7,831316,15.2,,
"2021-04-21 00:00:00",2662627,48.7,881283,16.1,,
"2021-04-22 00:00:00",2665489,48.8,927757,17,,
"2021-04-23 00:00:00",2670943,48.9,965511,17.7,,
"2021-04-24 00:00:00",2674606,48.9,1012746,18.5,,
"2021-04-25 00:00:00",2677150,49,1039393,19,,
"2021-04-26 00:00:00",2684413,49.1,1075002,19.7,,
"2021-04-27 00:00:00",2691974,49.2,1114264,20.4,,
"2021-04-28 00:00:00",2698515,49.4,1155368,21.1,,
"2021-04-29 00:00:00",2705970,49.5,1195500,21.9,,
"2021-04-30 00:00:00",2715407,49.7,1232573,22.5,,
"2021-05-01 00:00:00",2721624,49.8,1262124,23.1,,
"2021-05-02 00:00:00",2727968,49.9,1287350,23.6,,
"2021-05-03 00:00:00",2736985,50.1,1308656,23.9,,
"2021-05-04 00:00:00",2749610,50.3,1335258,24.4,,
"2021-05-05 00:00:00",2763713,50.6,1362222,24.9,,
"2021-05-06 00:00:00",2779204,50.8,1385447,25.3,,
"2021-05-07 00:00:00",2792437,51.1,1403716,25.7,,
"2021-05-08 00:00:00",2807952,51.4,1423711,26,,
"2021-05-09 00:00:00",2817859,51.6,1437961,26.3,,
"2021-05-10 00:00:00",2836579,51.9,1456814,26.7,,
