"DateTime","Cases","Deaths","Hospital Admissions"
"2020-03-05 00:00:00",0.09,,0.82
"2020-03-06 00:00:00",0.12,,1.14
"2020-03-07 00:00:00",0.16,,1.17
"2020-03-08 00:00:00",0.16,,1.17
"2020-03-09 00:00:00",0.26,,1.75
"2020-03-10 00:00:00",0.36,,2.53
"2020-03-11 00:00:00",0.48,,3.8
"2020-03-12 00:00:00",0.7,,4.19
"2020-03-13 00:00:00",0.95,,4.19
"2020-03-14 00:00:00",1.03,,4.87
"2020-03-15 00:00:00",1.09,,5.55
"2020-03-16 00:00:00",1.12,,5.94
"2020-03-17 00:00:00",1.25,,7.21
"2020-03-18 00:00:00",1.35,3.05,7.59
"2020-03-19 00:00:00",1.42,3.46,9.44
"2020-03-20 00:00:00",1.64,4.47,13.63
"2020-03-21 00:00:00",1.93,5.49,17.53
"2020-03-22 00:00:00",2.31,6.5,20.35
"2020-03-23 00:00:00",3.02,7.32,26.29
"2020-03-24 00:00:00",3.77,9.15,31.16
"2020-03-25 00:00:00",4.66,12.8,38.36
"2020-03-26 00:00:00",5.71,16.87,46.35
"2020-03-27 00:00:00",6.87,20.53,53.26
"2020-03-28 00:00:00",7.7,26.63,62.12
"2020-03-29 00:00:00",8.45,30.89,69.91
"2020-03-30 00:00:00",9.53,39.84,77.9
"2020-03-31 00:00:00",10.59,48.98,85.1
"2020-04-01 00:00:00",11.81,57.72,94.35
"2020-04-02 00:00:00",12.59,65.24,97.57
"2020-04-03 00:00:00",13.24,75.81,103.51
"2020-04-04 00:00:00",13.58,79.67,102.53
"2020-04-05 00:00:00",13.75,91.67,104.09
"2020-04-06 00:00:00",14.28,99.8,105.55
"2020-04-07 00:00:00",14.35,105.49,105.16
"2020-04-08 00:00:00",14.07,110.98,98.64
"2020-04-09 00:00:00",13.78,120.53,95.52
"2020-04-10 00:00:00",13.47,125.2,87.44
"2020-04-11 00:00:00",13.01,132.93,81.01
"2020-04-12 00:00:00",12.98,130.69,74.49
"2020-04-13 00:00:00",12.7,128.66,66.31
"2020-04-14 00:00:00",12.67,131.71,60.56
"2020-04-15 00:00:00",12.59,132.11,56.28
"2020-04-16 00:00:00",13.35,130.69,53.16
"2020-04-17 00:00:00",13.74,127.85,51.61
"2020-04-18 00:00:00",14.22,128.05,51.22
"2020-04-19 00:00:00",13.85,131.1,49.37
"2020-04-20 00:00:00",13.78,135.98,46.54
"2020-04-21 00:00:00",14.11,135.16,43.82
"2020-04-22 00:00:00",14.17,133.94,41.29
"2020-04-23 00:00:00",13.47,128.05,38.75
"2020-04-24 00:00:00",12.94,126.42,37.59
"2020-04-25 00:00:00",12.45,123.17,34.66
